512	4	0.007917	0.032213
512	8	0.008177	0.034956
512	16	0.009144	0.055368
512	32	0.010922	0.100459
1024	4	0.056334	0.135576
1024	8	0.055876	0.113554
1024	16	0.058739	0.136629
1024	32	0.056845	0.243825
2048	4	1.272014	0.865298
2048	8	1.259666	0.657676
2048	16	1.229868	0.489860
2048	32	1.243253	0.732863
4096	4	11.090688	7.105568
4096	8	11.210416	6.477245
4096	16	11.188290	6.946529
4096	32	11.084769	6.716992
